id,grupo,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,presionMax,presionMedia,cuTop10,cuGini,accesoBasicoPct,accesoMedioPct,accesoAvanzadoPct,conDemandaPct,excluidosBasicoPct,capacityUtilizadaPct,corrCuDemanda,corrCuAcceso,corrCuPatrimonio,distributablePerUser,escasezCapacidades
C-dem-shock,C-demanda,3101,1802,1299,58.11,17.35,10.15,15.6,34,0,31.5,68.5,100,1.5,195.8,0.66,0.73,,106,"programacion×7.6, reparacion×12.2, asesoria-juridica×8.7, diseno×8.4, mediacion×12.0, investigacion×10.7, traduccion×4.6, fabricacion×11.7, soporte-tecnico×8.3, salud-y-cuidado×17.4"
C-dem-concentrada,C-demanda,1563,1227,336,78.5,15.23,2.87,16.97,40,0,39,61,100,7.5,180.74,0.72,0.67,,106,"reparacion×15.2"
C-dem-repartida,C-demanda,1800,1029,771,57.17,8.09,5.98,15.51,34,0,36,64,100,2,215.98,0.41,0.7,,106,"programacion×8.1, reparacion×6.6, asesoria-juridica×5.2, mediacion×6.9, investigacion×6.5, fabricacion×7.2, soporte-tecnico×5.6, salud-y-cuidado×7.3"
D-of-abundante,D-oferta,1874,989,885,52.77,5.78,3.48,14.16,28,0,31,69,100,0.5,117.49,0.32,0.68,,106,"reparacion×5.8, mediacion×4.3, salud-y-cuidado×5.5"
D-of-escasez,D-oferta,1077,961,116,89.23,27.5,5.72,45.77,76,0,71,29,100,52,328.07,0.75,0.72,,106,"reparacion×6.5, mediacion×9.1, salud-y-cuidado×27.5"
D-of-monopolio,D-oferta,1810,1074,736,59.34,62.91,10.18,15.23,33,0,34.5,65.5,100,3.5,152.96,0.27,0.72,,106,"reparacion×62.9, mediacion×5.7, investigacion×5.5, fabricacion×5.6, soporte-tecnico×4.0, salud-y-cuidado×6.6"
D-of-sin-demanda,D-oferta,1203,1035,168,86.03,6.09,0.95,30.96,67,0,67.5,32.5,100,23.5,138.71,0.77,0.76,,106,"programacion×6.1"
D-dem-sin-proveedor,D-oferta,1286,581,705,45.18,302.59,51.61,70.98,82,0,87,13,100,74,142.07,0.38,0.73,,106,"reparacion×4.9, salud-y-cuidado×302.6"
E-auto-alta,E-automatizacion,1778,1135,643,63.84,8.74,5.09,15.1,33,0,35,65,100,1.5,216.12,0.43,0.74,,106,"reparacion×8.5, asesoria-juridica×4.5, mediacion×6.8, investigacion×6.1, fabricacion×7.0, salud-y-cuidado×8.7"
E-auto-media,E-automatizacion,1911,1082,829,56.62,9.34,6.37,14.24,28,0,29.5,70.5,100,1,207.52,0.26,0.66,,106,"programacion×4.3, reparacion×8.6, asesoria-juridica×5.8, diseno×4.7, mediacion×8.2, investigacion×7.0, fabricacion×7.7, soporte-tecnico×5.7, salud-y-cuidado×9.3"
E-auto-baja,E-automatizacion,1932,828,1104,42.86,12.94,8.47,12.92,22,0,24.5,75.5,100,0,209.86,0.24,0.66,,106,"programacion×8.6, reparacion×9.8, asesoria-juridica×4.4, diseno×4.4, mediacion×8.6, investigacion×7.5, traduccion×9.4, fabricacion×9.0, soporte-tecnico×12.9, salud-y-cuidado×10.1"
E-auto-shock,E-automatizacion,1927,1110,817,57.6,9.92,6.4,14.57,30,0,33,67,100,2,209.68,0.3,0.68,,106,"programacion×4.5, reparacion×9.9, asesoria-juridica×5.9, diseno×4.8, mediacion×7.5, investigacion×6.5, fabricacion×7.9, soporte-tecnico×5.7, salud-y-cuidado×9.7"
E-nueva-tecnologia,E-automatizacion,1877,1169,708,62.28,9.85,5.63,15.03,32,0,35,65,100,1.5,207.41,0.32,0.7,,106,"programacion×4.3, reparacion×9.8, asesoria-juridica×5.1, diseno×4.5, mediacion×7.0, investigacion×6.6, fabricacion×7.9, soporte-tecnico×5.6"
F-partic-sin-capacidades,F-participacion,1514,924,590,61.03,8.22,5.88,16.6,38,25,17.5,57.5,92,2.5,232.51,0.65,0.76,,106,"programacion×4.8, reparacion×8.2, asesoria-juridica×4.8, mediacion×7.4, investigacion×7.0, fabricacion×6.3, soporte-tecnico×6.1, salud-y-cuidado×8.2"
F-partic-capacidades,F-participacion,1849,1032,817,55.81,9.57,5.99,13.16,23,0,25,75,100,1,199.04,0.4,0.65,,106,"programacion×4.3, reparacion×9.6, asesoria-juridica×4.9, diseno×4.8, mediacion×6.6, investigacion×5.3, fabricacion×7.6, soporte-tecnico×5.6, salud-y-cuidado×8.7"
F-partic-expertos,F-participacion,1685,975,710,57.86,8.69,5.7,15.08,32,10,24.5,65.5,96,3.5,203.77,0.48,0.71,,106,"programacion×4.5, reparacion×7.6, asesoria-juridica×4.1, mediacion×7.6, investigacion×6.7, fabricacion×6.6, soporte-tecnico×4.8, salud-y-cuidado×8.7"
F-partic-inactivos,F-participacion,918,556,362,60.57,8.18,5.11,18.83,41,50,21.5,28.5,67.5,5,209.51,0.3,0.69,,106,"programacion×4.3, reparacion×8.2, mediacion×7.4, investigacion×5.9, fabricacion×5.5, salud-y-cuidado×7.8"
K-pocas-cu-acceso-basico,K-criticos,1122,721,401,64.26,10.67,5.54,21.8,52,40,15,45,84.5,11.5,234.07,0.77,0.78,,106,"reparacion×9.1, mediacion×6.3, investigacion×4.7, fabricacion×6.6, soporte-tecnico×7.0, salud-y-cuidado×10.7"
K-muchas-cu-sin-capacidad,K-criticos,1932,1687,245,87.32,120.41,24.37,42.29,61,0,91.5,8.5,100,78,214.34,-0.3,0.65,,106,"programacion×5.6, reparacion×31.0, mediacion×37.1, investigacion×6.0, fabricacion×12.1, salud-y-cuidado×120.4"
K-mucho-patrimonio-poca-distribubil,K-criticos,1848,1239,609,67.05,6.47,4.4,12.1,17,0,15,85,100,0.5,352.01,0.44,0.59,,212,"reparacion×6.5, mediacion×5.8, investigacion×5.7, fabricacion×5.3, salud-y-cuidado×5.9"
K-cu-como-dinero,K-criticos,378,304,74,80.42,1.13,0.71,38.87,62,0,54.5,45.5,84,7,148.31,-0.01,0.76,,106,"—"
K-farming,K-criticos,143,108,35,75.52,21.1,8.24,13.03,16,90,9.5,0.5,31.5,30.5,12.36,-0.6,0.26,,106,"reparacion×10.2, mediacion×21.1, fabricacion×8.5, salud-y-cuidado×5.3"
